duration,interruptions,linesWritten,errors,productivityScore
25,0,30,0,95
45,1,80,1,88
60,2,120,2,82
90,3,150,4,75
120,5,180,6,65
30,0,50,0,92
55,1,100,2,85
75,2,130,3,78
105,4,160,5,68
150,6,200,8,58
20,0,40,0,96
40,1,70,1,89
65,2,110,2,83
85,3,140,4,76
115,5,170,6,66
35,0,60,0,93
50,1,90,1,86
70,2,125,3,79
95,4,155,5,72
130,6,190,7,62
15,0,25,0,97
42,1,75,1,90
58,2,115,2,84
80,3,135,3,77
110,5,165,5,70
140,7,195,8,60
28,0,45,0,94
47,1,85,1,87
62,2,105,2,81
88,3,145,4,74
118,5,175,6,67
38,0,55,0,91
52,1,95,1,84
68,2,125,2,80
92,4,150,4,73
125,6,185,7,63
22,0,35,0,96
43,1,65,1,89
67,2,115,2,83
82,3,130,3,76
112,5,160,5,69
145,7,200,9,59
32,0,60,0,93
48,1,80,1,86
72,2,120,2,82
87,3,140,4,75
117,5,170,6,68
135,6,195,8,61
18,0,30,0,97
37,1,70,1,90
63,2,100,2,84
78,3,125,3,77
108,5,155,5,71
142,7,190,8,62
27,0,50,0,94
46,1,75,1,87
64,2,110,2,81
83,3,135,4,76
113,5,165,6,69
138,6,185,7,64
33,0,55,0,92
49,1,85,1,85
66,2,115,2,80
84,3,130,3,74
114,5,160,5,70
148,7,195,8,60
23,0,40,0,95
39,1,75,1,88
69,2,105,2,83
79,3,120,3,77
109,5,150,5,72
132,6,180,7,65
29,0,45,0,93
44,1,80,1,86
71,2,125,2,82
86,3,140,4,75
116,5,170,6,69
144,7,200,9,61
34,0,60,0,91
51,1,90,1,84
73,2,115,2,81
89,3,145,4,76
119,5,175,6,70
136,6,190,8,63
19,0,35,0,96
41,1,70,1,89
65,2,100,2,83
81,3,125,3,78
111,5,155,5,72
141,7,185,8,64
24,0,50,0,94
47,1,85,1,87
67,2,110,2,82
85,3,135,4,77
115,5,165,6,71
139,6,195,8,62
31,0,55,0,92
53,1,95,1,85
74,2,120,2,80
91,3,150,4,74
121,5,180,6,68
147,7,200,9,59
26,0,40,0,95
42,1,75,1,88
70,2,105,2,84
77,3,115,3,79
107,5,145,5,73
133,6,175,7,66
36,0,65,0,90
54,1,100,1,83
76,2,130,2,79
93,4,155,4,72
123,5,185,6,67
149,7,210,9,58
